0 1 2 3 4 5 6 7 8 9
0 10 11 12 13 14 15 16 17 18
0 19 34 35 36 37 38 39 40 41
0 20 27 42 55 56 57 58 59 60
0 21 28 43 49 61 67 73 79 85
0 23 31 45 54 64 71 74 81 89
0 24 32 44 50 62 68 77 84 88
0 25 30 46 53 63 72 76 82 86
0 26 33 48 52 65 69 75 80 90
0 22 29 47 51 66 70 78 83 87
1 10 19 20 21 22 23 24 25 26
1 11 34 42 43 44 45 46 47 48
1 12 27 35 61 62 63 64 65 66
1 18 28 41 54 60 72 78 84 90
1 13 29 36 49 55 68 74 80 86
1 14 30 37 50 56 67 75 81 87
1 15 31 38 51 57 69 73 82 88
1 16 32 39 52 58 70 76 79 89
1 17 33 40 53 59 71 77 83 85
2 10 35 42 49 50 51 52 53 54
3 10 27 34 67 68 69 70 71 72
9 10 28 39 48 57 66 77 81 86
4 10 33 36 43 56 62 78 82 89
5 10 31 37 44 55 61 76 83 90
6 10 32 41 45 59 63 73 80 87
7 10 29 40 46 60 64 75 79 88
8 10 30 38 47 58 65 74 84 85
2 11 19 27 28 29 30 31 32 33
2 12 20 34 73 74 75 76 77 78
2 14 21 40 45 58 66 68 82 90
2 16 22 37 43 59 64 69 84 86
2 17 23 39 47 56 61 72 80 88
2 13 24 38 48 60 63 67 83 89
2 18 25 36 44 57 65 71 79 87
2 15 26 41 46 55 62 70 81 85
3 11 20 35 79 80 81 82 83 84
5 11 21 39 53 60 62 69 74 87
6 11 25 38 49 56 64 70 77 90
4 11 24 41 51 58 61 71 75 86
8 11 26 36 54 59 66 67 76 88
9 11 22 40 50 55 65 72 73 89
7 11 23 37 52 57 63 68 78 85
3 12 19 42 85 86 87 88 89 90
6 17 19 43 51 60 65 68 76 81
8 16 19 45 49 57 62 72 75 83
7 18 19 48 50 59 61 70 74 82
9 15 19 44 53 58 64 67 78 80
5 13 19 46 52 56 66 71 73 84
4 14 19 47 54 55 63 69 77 79
6 16 21 30 35 48 55 71 78 88
5 15 25 28 35 47 59 68 75 89
7 13 26 31 35 43 58 72 77 87
4 17 22 32 35 46 57 67 74 90
8 14 23 33 35 44 60 70 73 86
9 18 24 29 35 45 56 69 76 85
7 15 21 32 34 54 56 65 83 86
8 17 24 28 34 52 55 64 82 87
5 18 22 33 34 49 58 63 81 88
6 14 26 29 34 53 57 61 84 89
9 13 23 30 34 51 59 62 79 90
4 16 25 31 34 50 60 66 80 85
9 17 21 31 36 42 63 70 75 84
7 14 22 28 38 42 62 71 76 80
8 13 25 32 40 42 61 69 78 81
5 16 23 29 41 42 65 67 77 82
4 18 26 30 39 42 64 68 73 83
6 15 24 33 37 42 66 72 74 79
3 13 21 33 41 47 50 57 64 76
3 16 26 28 40 44 51 56 63 74
3 18 23 32 38 43 53 55 66 75
3 14 24 31 39 46 49 59 65 78
3 15 22 30 36 45 52 60 61 77
3 17 25 29 37 48 54 58 62 73
4 12 21 29 38 44 52 59 72 81
6 12 23 28 36 46 50 58 69 83
5 12 24 30 40 43 54 57 70 80
9 12 26 32 37 47 49 60 71 82
7 12 25 33 39 45 51 55 67 84
8 12 22 31 41 48 53 56 68 79
4 13 20 28 37 45 53 65 70 88
8 15 20 29 39 43 50 63 71 90
7 17 20 30 41 44 49 66 69 89
9 16 20 33 38 46 54 61 68 87
6 18 20 31 40 47 52 62 67 86
5 14 20 32 36 48 51 64 72 85
8 18 21 27 37 46 51 77 80 89
9 14 25 27 41 43 52 74 83 88
4 15 23 27 40 48 49 76 84 87
7 16 24 27 36 47 53 73 81 90
5 17 26 27 38 45 50 78 79 86
6 13 22 27 39 44 54 75 82 85
