0 1 2 3 4 5 6 7 8 9
0 10 31 32 33 34 35 36 37 75
0 11 25 38 44 50 56 62 68 76
0 13 26 39 49 51 59 66 71 80
0 14 28 41 47 54 61 63 70 78
0 15 30 40 48 52 58 67 69 81
0 16 29 42 46 53 57 64 73 77
0 12 27 43 45 55 60 65 72 79
0 17 18 19 20 21 22 23 24 74
1 10 24 38 39 40 41 42 43 83
1 11 23 37 49 55 61 67 73 89
1 12 18 32 44 51 57 63 69 84
1 13 19 33 45 50 58 64 70 85
1 14 20 34 46 52 56 65 71 86
1 15 21 35 47 53 59 62 72 87
1 16 22 36 48 54 60 66 68 88
1 17 25 26 27 28 29 30 31 82
2 10 11 12 13 14 15 16 74 82
2 17 44 45 46 47 48 49 75 83
2 21 25 36 43 51 61 64 81 86
2 22 26 34 38 55 58 63 77 87
2 20 27 35 39 50 57 67 78 88
2 18 28 33 40 53 56 66 79 89
2 19 29 37 41 52 60 62 80 84
2 23 30 32 42 54 59 65 76 85
9 11 24 30 33 46 51 60 78 87
4 15 24 25 34 45 54 57 80 89
5 16 24 26 35 44 52 61 79 85
6 12 24 28 37 48 50 59 77 86
7 13 24 29 32 47 55 56 81 88
8 14 24 27 36 49 53 58 76 84
8 11 17 34 41 59 64 69 79 88
9 14 17 37 38 57 66 72 81 85
5 12 17 36 42 56 67 70 80 87
6 16 17 32 43 58 62 71 78 89
7 15 17 33 39 61 65 68 77 84
4 13 17 35 40 60 63 73 76 86
7 11 20 31 43 48 53 63 80 85
6 13 21 31 38 46 54 67 79 84
8 15 19 31 42 44 55 66 78 86
4 16 18 31 41 49 50 65 81 87
5 14 23 31 40 45 51 62 77 88
9 12 22 31 39 47 52 64 76 89
3 11 22 28 35 42 45 71 81 84
3 14 19 25 32 39 48 73 79 87
3 16 23 27 33 38 47 69 80 86
3 13 20 30 36 41 44 72 77 89
3 12 21 29 34 40 49 68 78 85
3 15 18 26 37 43 46 70 76 88
8 10 18 25 47 60 67 71 77 85
9 10 21 28 44 58 65 73 80 88
4 10 23 26 48 56 64 72 78 84
7 10 22 30 49 57 62 70 79 86
5 10 19 27 46 59 63 68 81 89
6 10 20 29 45 61 66 69 76 87
4 11 21 27 32 52 66 70 77 83
5 13 22 25 37 53 65 69 78 83
9 15 23 29 36 50 63 71 79 83
8 12 20 26 33 54 62 73 81 83
6 14 18 30 35 55 64 68 80 83
7 16 19 28 34 51 67 72 76 83
5 11 18 29 39 54 58 72 75 86
9 16 20 25 40 55 59 70 75 84
4 12 19 30 38 53 61 71 75 88
7 14 21 26 42 50 60 69 75 89
6 15 22 27 41 51 56 73 75 85
8 13 23 28 43 52 57 68 75 87
3 31 56 57 58 59 60 61 74 83
6 25 33 42 49 52 63 72 74 88
8 29 35 38 48 51 65 70 74 89
7 27 37 40 44 54 64 71 74 87
5 30 34 43 47 50 66 73 74 84
4 28 36 39 46 55 62 69 74 85
9 26 32 41 45 53 67 68 74 86
3 24 62 63 64 65 66 67 75 82
7 18 36 38 45 52 59 73 78 82
6 23 34 39 44 53 60 70 81 82
8 22 32 40 46 50 61 72 80 82
9 19 35 43 49 54 56 69 77 82
4 20 37 42 47 51 58 68 79 82
5 21 33 41 48 55 57 71 76 82
0 82 83 84 85 86 87 88 89 90
1 74 75 76 77 78 79 80 81 90
2 24 31 68 69 70 71 72 73 90
3 10 17 50 51 52 53 54 55 90
6 11 19 26 36 40 47 57 65 90
7 12 23 25 35 41 46 58 66 90
5 15 20 28 32 38 49 60 64 90
4 14 22 29 33 43 44 59 67 90
8 16 21 30 37 39 45 56 63 90
9 13 18 27 34 42 48 61 62 90
