0 1 2 3 4 5 6 7 8 9
0 10 11 12 13 14 15 16 17 18
0 19 34 35 36 37 38 39 40 41
0 20 27 42 55 56 57 58 59 60
0 21 33 48 54 61 76 78 89 90
0 22 30 43 49 63 68 72 79 80
0 23 28 44 50 69 70 77 81 82
0 24 29 45 51 64 73 74 83 84
0 25 31 46 52 62 67 75 85 86
0 26 32 47 53 65 66 71 87 88
1 10 19 20 21 22 23 24 25 26
1 11 34 42 43 44 45 46 47 48
1 12 28 35 55 61 62 63 64 65
1 13 31 41 54 56 74 80 82 88
1 14 33 36 50 58 68 73 85 87
1 15 29 37 52 59 71 76 79 81
1 16 27 38 51 66 72 77 86 89
1 17 32 39 49 57 69 75 78 83
1 18 30 40 53 60 67 70 84 90
2 10 35 42 49 50 51 52 53 54
3 10 29 34 56 61 66 67 68 69
4 10 31 38 48 57 63 81 84 87
5 10 33 40 47 59 64 72 75 82
6 10 28 41 43 58 71 83 86 90
7 10 27 37 45 65 70 78 80 85
8 10 30 39 46 55 73 76 77 88
9 10 32 36 44 60 62 74 79 89
2 11 19 27 28 29 30 31 32 33
2 13 21 34 57 62 70 71 72 73
2 14 22 37 48 60 64 69 86 88
2 12 24 39 47 58 67 80 81 89
2 18 20 41 45 61 75 77 79 87
2 16 26 40 44 56 63 76 83 85
2 15 25 36 43 55 66 78 82 84
2 17 23 38 46 59 65 68 74 90
4 11 22 35 58 66 70 74 75 76
5 11 21 39 50 56 65 79 84 86
3 11 26 36 52 57 64 77 80 90
6 11 20 40 51 62 68 78 81 88
9 11 23 37 54 55 67 72 83 87
8 11 24 38 49 60 61 71 82 85
7 11 25 41 53 59 63 69 73 89
5 14 19 42 63 67 71 74 77 78
4 13 19 47 51 55 69 79 85 90
3 16 19 43 54 60 65 73 75 81
9 12 19 45 53 57 68 76 82 86
6 15 19 46 49 56 64 70 87 89
7 17 19 44 52 58 61 72 84 88
8 18 19 48 50 59 62 66 80 83
5 18 23 29 35 43 57 85 88 89
3 13 24 30 35 44 59 78 86 87
8 14 25 32 35 45 56 72 81 90
7 15 21 31 35 47 60 68 77 83
9 16 20 33 35 46 69 71 80 84
6 17 26 27 35 48 67 73 79 82
4 14 20 30 34 52 65 82 83 89
5 17 25 28 34 51 60 76 80 87
6 12 22 32 34 54 59 77 84 85
9 15 24 27 34 50 63 75 88 90
8 16 23 31 34 53 58 64 78 79
7 18 26 33 34 49 55 74 81 86
4 15 23 32 40 42 61 73 80 86
3 12 25 33 38 42 70 79 83 88
8 13 26 28 37 42 68 75 84 89
9 17 21 30 41 42 64 66 81 85
7 16 22 29 39 42 62 82 87 90
6 18 24 31 36 42 65 69 72 76
4 12 26 29 41 46 50 60 72 78
4 16 21 28 36 45 49 59 67 88
4 18 25 27 39 44 54 64 68 71
4 17 24 33 37 43 53 56 62 77
5 13 22 27 36 46 53 61 81 83
5 12 20 31 37 44 49 66 73 90
5 15 26 30 38 45 54 58 62 69
5 16 24 32 41 48 52 55 68 70
3 14 23 27 41 47 49 62 76 84
3 18 21 32 37 46 51 58 63 82
3 17 22 31 40 45 50 55 71 89
3 15 20 28 39 48 53 72 74 85
7 13 20 32 38 43 50 64 67 76
9 13 25 29 40 48 49 58 65 77
6 13 23 33 39 45 52 60 63 66
6 14 21 29 38 44 53 55 75 80
7 14 24 28 40 46 54 57 66 79
9 14 26 31 39 43 51 59 61 70
8 12 21 27 40 43 52 69 74 87
7 12 23 30 36 48 51 56 71 75
9 18 22 28 38 47 52 56 73 78
8 15 22 33 41 44 51 57 65 67
8 17 20 29 36 47 54 63 70 86
6 16 25 30 37 47 50 57 61 74
