0 1 2 3 4 5 6 7 8 9 10 11
0 12 13 14 15 16 17 18 19 20 21 22
0 23 42 43 44 45 46 47 48 49 50 51
0 24 33 52 69 70 71 72 73 74 75 76
0 25 34 56 64 86 98 104 121 122 123 124
0 26 35 53 61 78 91 103 109 110 111 112
0 27 36 54 62 77 85 97 113 114 115 116
0 28 37 55 63 79 84 92 117 118 119 120
0 29 38 57 68 80 89 94 102 107 125 132
0 30 39 59 66 83 88 95 100 105 126 131
0 31 40 60 65 82 87 96 99 108 127 129
0 32 41 58 67 81 90 93 101 106 128 130
1 12 23 24 25 26 27 28 29 30 31 32
1 13 42 52 53 54 55 56 57 58 59 60
1 14 34 43 69 77 78 79 80 81 82 83
1 15 33 47 68 86 99 105 110 114 119 130
1 16 35 44 65 71 93 97 117 121 125 126
1 17 38 45 66 70 85 103 118 122 127 128
1 18 39 46 67 72 84 94 109 113 123 129
1 19 36 51 64 73 89 92 101 108 112 131
1 20 37 49 62 75 88 96 98 106 111 132
1 21 40 50 63 74 90 91 100 107 116 124
1 22 41 48 61 76 87 95 102 104 115 120
2 12 43 52 61 62 63 64 65 66 67 68
3 12 35 42 69 84 85 86 87 88 89 90
4 12 33 51 60 78 94 106 115 118 124 126
5 12 34 48 57 71 92 100 111 113 127 130
6 12 40 49 58 70 79 104 109 114 125 131
7 12 41 50 59 72 77 99 112 117 122 132
8 12 37 47 53 73 82 95 97 107 123 128
9 12 36 45 55 75 81 91 102 105 121 129
10 12 38 46 54 74 83 93 98 108 110 120
11 12 39 44 56 76 80 96 101 103 116 119
2 13 23 33 34 35 36 37 38 39 40 41
2 15 25 42 70 77 91 92 93 94 95 96
2 16 26 48 60 74 81 85 119 123 131 132
2 14 24 51 57 87 98 105 109 116 117 128
2 19 29 49 59 69 97 103 120 124 129 130
2 20 30 50 58 73 80 84 110 115 121 127
2 18 28 45 54 76 82 86 100 106 112 125
2 21 32 44 53 75 83 89 99 104 113 118
2 22 31 46 55 71 78 88 101 107 114 122
2 17 27 47 56 72 79 90 102 108 111 126
4 13 26 43 70 84 97 98 99 100 101 102
5 13 25 44 68 74 79 88 112 115 128 129
3 13 24 47 65 80 91 106 113 120 122 131
8 13 31 45 67 69 92 104 110 116 126 132
9 13 32 46 66 73 77 87 111 119 124 125
7 13 27 49 63 76 78 89 93 105 123 127
10 13 30 48 64 75 82 90 94 103 114 117
11 13 29 50 62 71 81 86 95 108 109 118
6 13 28 51 61 72 83 85 96 107 121 130
5 16 23 52 77 84 103 104 105 106 107 108
4 15 23 53 64 72 81 88 116 120 125 127
3 14 23 56 61 73 93 100 114 118 129 132
10 21 23 55 62 70 80 87 112 123 126 130
11 22 23 54 63 69 94 99 111 121 128 131
7 18 23 57 65 75 79 85 95 101 110 124
8 19 23 58 66 74 78 86 96 102 113 117
9 20 23 60 68 76 83 90 92 97 109 122
6 17 23 59 67 71 82 89 91 98 115 119
5 22 24 36 43 59 90 96 110 118 123 125
3 19 25 41 43 54 75 107 109 119 126 127
6 15 30 35 43 55 76 108 113 124 128 132
10 16 28 33 43 58 89 95 111 116 122 129
7 17 29 39 43 53 74 87 92 106 114 121
8 20 32 40 43 56 71 85 94 105 112 120
9 21 31 37 43 57 72 86 93 103 115 131
11 18 27 38 43 60 73 88 91 104 117 130
4 17 32 34 42 62 76 107 110 117 129 131
5 21 27 33 42 66 82 101 109 120 121 132
11 16 24 37 42 67 83 102 112 114 124 127
8 14 26 39 42 63 75 108 115 122 125 130
7 22 28 40 42 68 73 81 98 103 113 126
9 19 30 38 42 61 71 79 99 106 116 123
10 20 29 36 42 65 72 78 100 104 119 128
6 18 31 41 42 64 74 80 97 105 111 118
4 14 31 38 49 52 90 95 112 113 119 121
3 15 29 40 45 52 83 101 111 115 117 123
7 20 25 35 46 52 82 102 116 118 130 131
9 18 26 34 50 52 89 96 114 120 126 128
8 17 28 36 48 52 80 88 93 99 109 124
10 22 32 39 51 52 79 86 91 97 127 132
11 21 30 41 47 52 78 85 92 98 125 129
6 19 27 37 44 52 81 87 94 100 110 122
4 16 27 40 46 59 61 75 80 86 92 128
4 18 25 36 47 58 63 71 83 87 103 132
4 19 24 39 50 55 68 82 85 93 104 111
4 21 29 35 48 54 67 73 79 96 105 122
4 20 28 41 44 57 66 69 91 108 114 123
4 22 30 37 45 56 65 74 77 89 109 130
5 15 28 38 50 56 67 75 78 87 97 131
